metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_sending,1694802460,0.057660,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_waiting,1694802460,5.174967,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_receiving,1694802460,0.151070,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_failed,1694802460,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
vus,1694802461,1.000000,,,,,,,,,,,,,,,,
vus_max,1694802461,1.000000,,,,,,,,,,,,,,,,
data_sent,1694802461,86.000000,,,,,,,,,default,,,,,,,
data_received,1694802461,435.000000,,,,,,,,,default,,,,,,,
iteration_duration,1694802461,1006.370492,,,,,,,,,default,,,,,,,
iterations,1694802461,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1694802461,1.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_duration,1694802461,5.641419,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_blocked,1694802461,0.013733,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_connecting,1694802461,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_tls_handshaking,1694802461,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_sending,1694802461,0.065980,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_waiting,1694802461,5.358437,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_receiving,1694802461,0.217002,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_failed,1694802461,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
vus,1694802462,1.000000,,,,,,,,,,,,,,,,
vus_max,1694802462,1.000000,,,,,,,,,,,,,,,,
data_sent,1694802462,86.000000,,,,,,,,,default,,,,,,,
data_received,1694802462,435.000000,,,,,,,,,default,,,,,,,
iteration_duration,1694802462,1006.820634,,,,,,,,,default,,,,,,,
iterations,1694802462,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1694802462,1.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_duration,1694802462,5.493702,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_blocked,1694802462,0.008690,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_connecting,1694802462,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_tls_handshaking,1694802462,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_sending,1694802462,0.045573,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_waiting,1694802462,5.266906,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_receiving,1694802462,0.181223,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_failed,1694802462,0.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
vus,1694802463,1.000000,,,,,,,,,,,,,,,,
vus_max,1694802463,1.000000,,,,,,,,,,,,,,,,
data_sent,1694802463,86.000000,,,,,,,,,default,,,,,,,
data_received,1694802463,435.000000,,,,,,,,,default,,,,,,,
iteration_duration,1694802463,1005.991774,,,,,,,,,default,,,,,,,
iterations,1694802463,1.000000,,,,,,,,,default,,,,,,,
http_reqs,1694802463,1.000000,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
http_req_duration,1694802463,4.529674,,,,true,,GET,http://localhost:3000/member,HTTP/1.1,default,,200,,,http://localhost:3000/member,,
